startTime;filename;year;period;size;created;sourceRecordNumber;dfSumBoxMill;dfSumPriceBill
22-07-11_18-59-25;OEP_GYSZ_Forg_201501.mdb;2015;201501;37367808;2022/07/11, 16:57:16;124353;17.944372418902002;35.84103999786
22-07-11_18-59-25;OEP_GYSZ_Forg_201502.mdb;2015;201502;37072896;2022/07/11, 16:57:17;123197;17.355753117751004;34.546992242900004
22-07-11_18-59-25;OEP_GYSZ_Forg_201503.mdb;2015;201503;37388288;2022/07/11, 16:57:18;124263;18.061715546965;37.05673069352999
22-07-11_18-59-25;OEP_GYSZ_Forg_201504.mdb;2015;201504;37400576;2022/07/11, 16:57:18;124048;17.596306261676002;37.18225706790001
22-07-11_18-59-25;OEP_GYSZ_Forg_201505.mdb;2015;201505;36941824;2022/07/11, 16:57:19;122173;16.065617021256003;35.00329821519
22-07-11_18-59-25;OEP_GYSZ_Forg_201506.mdb;2015;201506;37302272;2022/07/11, 16:57:19;123506;17.171123892571;38.57416556794
22-07-11_18-59-25;OEP_GYSZ_Forg_201507.mdb;2015;201507;37142528;2022/07/11, 16:57:20;122763;16.530116925641;37.958081571870004
22-07-11_18-59-25;OEP_GYSZ_Forg_201508.mdb;2015;201508;36483072;2022/07/11, 16:57:21;120312;15.110366825196;33.92135424201
22-07-11_18-59-25;OEP_GYSZ_Forg_201509.mdb;2015;201509;37531648;2022/07/11, 16:57:21;123885;17.120696620002995;37.53594888803
22-07-11_18-59-25;OEP_GYSZ_Forg_201510.mdb;2015;201510;37695488;2022/07/11, 16:57:22;124348;17.099739685838003;37.13397189767001
22-07-11_18-59-25;OEP_GYSZ_Forg_201511.mdb;2015;201511;37728256;2022/07/11, 16:56:55;124335;17.021536057232;36.8827616797
22-07-11_18-59-25;OEP_GYSZ_Forg_201512.mdb;2015;201512;292229120;2022/07/11, 16:56:56;125190;18.050771050425002;39.275408210980004
22-07-11_18-59-25;OEP_GYSZ_Forg_201601.mdb;2016;201601;37629952;2022/07/11, 16:56:59;123911;16.804171209030002;36.25252092173
22-07-11_18-59-25;OEP_GYSZ_Forg_201602.mdb;2016;201602;37826560;2022/07/11, 16:56:59;124643;17.338401973749;37.205101995439996
22-07-11_18-59-25;OEP_GYSZ_Forg_201603.mdb;2016;201603;37924864;2022/07/11, 16:57:00;124887;17.583181871762;38.77403266976
22-07-11_18-59-25;OEP_GYSZ_Forg_201604.mdb;2016;201604;292327424;2022/07/11, 16:57:00;125135;17.197853449639997;38.141200493730004
22-07-11_18-59-25;OEP_GYSZ_Forg_201605.mdb;2016;201605;37990400;2022/07/11, 16:57:03;125101;17.126118822952;38.4691327391
22-07-11_18-59-25;OEP_GYSZ_Forg_201606.mdb;2016;201606;37990400;2022/07/11, 16:57:04;125093;17.0906992624;39.18714322729
22-07-11_18-59-25;OEP_GYSZ_Forg_201607.mdb;2016;201607;37269504;2022/07/11, 16:57:04;122641;15.662158230190002;36.17073029536
22-07-11_18-59-25;OEP_GYSZ_Forg_201608.mdb;2016;201608;37695488;2022/07/11, 16:57:05;123982;16.634943012224;38.48333768094
22-07-11_18-59-25;OEP_GYSZ_Forg_201609.mdb;2016;201609;38174720;2022/07/11, 16:57:06;125638;17.152320219801005;39.42628881698
22-07-11_18-59-25;OEP_GYSZ_Forg_201610.mdb;2016;201610;38121472;2022/07/11, 16:57:07;125423;16.741544248968;38.25371109519
22-07-11_18-59-25;OEP_GYSZ_Forg_201611.mdb;2016;201611;38514688;2022/07/11, 16:57:07;126761;17.790781440064;40.56482359862999
22-07-11_18-59-25;OEP_GYSZ_Forg_201612.mdb;2016;201612;38383616;2022/07/11, 16:57:08;126434;17.965324914952998;40.768119057579995
22-07-11_18-59-25;OEP_GYSZ_Forg_201701.mdb;2017;201701;38219776;2022/07/11, 16:57:09;125780;18.314680857503;40.71751758868
22-07-11_18-59-25;OEP_GYSZ_Forg_201702.mdb;2017;201702;38055936;2022/07/11, 16:57:09;125110;16.74529462827;37.87010056466001
22-07-11_18-59-25;OEP_GYSZ_Forg_201703.mdb;2017;201703;38588416;2022/07/11, 16:57:10;127085;18.116503480069;41.63019390945001
22-07-11_18-59-25;OEP_GYSZ_Forg_201704.mdb;2017;201704;37769216;2022/07/11, 16:57:10;124130;16.157294053317003;37.15915306207
22-07-11_18-59-25;OEP_GYSZ_Forg_201705.mdb;2017;201705;38383616;2022/07/11, 16:57:11;126276;17.553258841342004;41.04545768022999
22-07-11_18-59-25;OEP_GYSZ_Forg_201706.mdb;2017;201706;38055936;2022/07/11, 16:57:12;125131;16.819563373698998;39.69883151716
22-07-11_18-59-25;OEP_GYSZ_Forg_201707.mdb;2017;201707;37634048;2022/07/11, 16:57:12;123658;15.876002710961998;37.705345982210005
22-07-11_18-59-25;OEP_GYSZ_Forg_201708.mdb;2017;201708;37937152;2022/07/11, 16:57:13;124694;16.471324785582002;39.257876587670005
22-07-11_18-59-25;OEP_GYSZ_Forg_201709.mdb;2017;201709;38055936;2022/07/11, 16:57:14;125077;16.794335826939;39.20962511062
22-07-11_18-59-25;OEP_GYSZ_Forg_201710.mdb;2017;201710;38281216;2022/07/11, 16:57:14;125760;17.793319238719;41.43851039978998
22-07-11_18-59-25;OEP_GYSZ_Forg_201711.mdb;2017;201711;38121472;2022/07/11, 16:57:15;125213;17.356222694914;40.428684265979996
22-07-11_18-59-25;OEP_GYSZ_Forg_201712.mdb;2017;201712;37789696;2022/07/11, 16:57:16;124017;17.256032875719004;39.93481142755
